classification,win_rate,avg_winning_pnl,avg_losing_pnl
Extreme Fear,0.370607476635514,173.42476737384948,-257.099628909899
Extreme Greed,0.46494298859771954,160.59326895165108,-119.92028871801683
Fear,0.42076750165758364,151.84093464783427,-156.6624008867775
Greed,0.38482794266743536,165.7617105076971,-181.9673288169474
Neutral,0.3969909250119408,112.43943157723415,-121.72784874202627
