classification,Closed PnL,Size USD,leverage
Extreme Fear,34.53786207897196,5349.7318429906545,125857344189.68983
Extreme Greed,67.89286133909282,3112.2515645629123,221307558602.07883
Fear,54.2903996254993,7816.109930785776,181587833953.61572
Greed,42.74355948851957,5736.884375086974,226776082969.1503
Neutral,34.30771839807886,4782.732661465797,249971899217.9085
